1234, 24150, 22236, 18863, 3083, 10196, 17147, 3181, 22932, 8575, 16374, 810, 12498, 7387, 21807, 21697, 16573, 1814, 1452, 22523
11553, 22221, 24244, 883, 10758, 2574, 12640, 5990, 22122, 12670, 6062, 14831, 7238, 5589, 2433, 20654, 21760, 15294, 3512, 23248
23221, 2356, 11370, 7951, 4700, 17913, 6606, 6881, 686, 19121, 4890, 10582, 8835, 13890, 20284, 3212, 15502, 4401, 14804, 14969
21904, 23426, 15333, 213, 3122, 8156, 18467, 1696, 23743, 7637, 17774, 4876, 16733, 18919, 7089, 21529, 15647, 2192, 11519, 1427
10816, 3977, 16072, 19631, 12116, 127, 4907, 5525, 20617, 11895, 3058, 21761, 18104, 2378, 1681, 8552, 16282, 5603, 10140, 7520
23064, 18888, 5959, 16847, 10354, 20254, 22458, 9192, 2837, 4330, 5873, 1028, 21964, 23895, 23327, 19952, 371, 17839, 687, 9853
21590, 15595, 23518, 4332, 1515, 8982, 12251, 6460, 7009, 6411, 15114, 2906, 11546, 6870, 12863, 14284, 7588, 7231, 22378, 496
1673, 11306, 22312, 10954, 2301, 14731, 21826, 8686, 6156, 7425, 17440, 10592, 19877, 5294, 3643, 4685, 23940, 14650, 4787, 8613
21181, 24587, 18410, 18399, 24393, 16599, 9434, 7897, 16086, 19473, 14480, 10406, 19359, 21804, 20419, 21164, 5554, 14020, 742, 15192
2160, 16292, 3060, 21616, 8451, 7032, 11722, 11834, 17942, 10350, 12287, 15107, 5347, 591, 763, 22115, 15008, 17381, 8523, 1265
3101, 16420, 17546, 2989, 12074, 9180, 20544, 15871, 13717, 14406, 15610, 16066, 21690, 3026, 21903, 17644, 20187, 14598, 11678, 6198
24773, 2521, 19549, 6481, 11444, 5606, 15977, 22342, 14511, 5120, 4622, 16594, 6094, 16646, 5329, 6024, 6730, 12627, 44, 7056
11291, 18014, 24777, 5072, 15733, 21863, 24494, 13241, 5000, 7082, 9447, 19832, 11013, 11408, 19600, 6038, 8673, 4240, 23403, 12134
24003, 13303, 4754, 21555, 18994, 86, 20522, 5648, 13865, 22450, 12137, 23111, 17162, 465, 20500, 15110, 559, 24747, 4603, 22191
17883, 11762, 10458, 12324, 5357, 6051, 7039, 21660, 10945, 16212, 9108, 8254, 22352, 2628, 3658, 9503, 6634, 4358, 8572, 4343
15879, 4989, 3404, 17896, 22537, 24189, 22205, 1864, 15215, 18146, 5299, 20635, 16225, 18591, 10711, 13537, 4528, 18986, 10223, 14930
18549, 10961, 22796, 17667, 4424, 13197, 24267, 15776, 12835, 12610, 15661, 5000, 14133, 2430, 8894, 17893, 15969, 5278, 24324, 20811
3954, 17902, 4430, 6105, 13155, 19032, 7662, 4329, 15165, 21113, 12627, 528, 3765, 18774, 4465, 22662, 18544, 22989, 7491, 21640
5588, 6695, 9856, 6874, 15298, 17220, 3321, 10199, 9175, 13926, 24363, 4668, 4427, 5349, 21100, 13793, 17771, 12761, 22425, 14446
14419, 8646, 4056, 14975, 12919, 8162, 16947, 14654, 17194, 8352, 24629, 19803, 8822, 17653, 10743, 19906, 8651, 5470, 2102, 304
22599, 5605, 24702, 17755, 12546, 14794, 9924, 5281, 11650, 17224, 21774, 17153, 5372, 1474, 22445, 19370, 14786, 6207, 14237, 14265
13810, 23204, 2547, 18651, 4600, 16174, 5742, 20725, 14259, 20241, 22386, 12922, 7483, 13002, 17251, 7885, 21281, 6142, 7535, 10282
22714, 10579, 8690, 10442, 7691, 17860, 9864, 23181, 12450, 8258, 4138, 1955, 20658, 13781, 6452, 17915, 17581, 2222, 1396, 15616
17842, 16899, 5673, 830, 19811, 14483, 11390, 18297, 3667, 19561, 10160, 7198, 9811, 23393, 4287, 11090, 5972, 24463, 3157, 3847
22017, 170, 3827, 24166, 11987, 15663, 14994, 21801, 7903, 3571, 16306, 4665, 20314, 23631, 11843, 23209, 5561, 19892, 7090, 15632
